,Unnamed: 0,Star_name,Distance,Mass,Radius
95,95,2MASS 0939−2448,17.4,0.030546816,0.09762484877496957
96,96,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247779494524
97,97,2MASS J10073369-4555147,46.0,0.042001872,0.09659721975499391
98,98,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070774196004867
101,101,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582656991482
102,102,2MASSW J1036530-344138 [de],53.0,0.046774812,0.099680112940073
103,103,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721975499391
104,104,Luhman 16B,6.516,0.041047284,0.10481825803995132
105,105,Luhman 16A,6.516,0.03818352,0.10379062901997566
106,106,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
107,107,TWA 28,180.0,0.034365168,0.2456035807802677
108,108,Cha 110913-773444,163.0,0.007636704,0.1849733950998783
110,110,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612098002432
111,111,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247779494524
112,112,TWA 26,137.0,0.028637640000000002,0.22607860490012166
114,114,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
115,115,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
118,118,2MASS J12074836-3900043,217.0,0.016227996,0.17572473392009733
119,119,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721975499391
122,122,2M 1237+6526,45.6,0.039138108,0.09659721975499391
124,124,TWA 29,262.0,0.0238647,0.205526
125,125,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070774196004867
126,126,Kelu-1A,61.0,0.060139044,0.10070774196004867
127,127,Kelu-1B,61.0,0.055366104,0.10070774196004867
128,128,2MASS J13204427+0409045,101.0,0.063957396,0.10379062901997566
129,129,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.099680112940073
130,130,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721975499391
131,131,2MASS J13595510-4034582,51.0,0.060139044,0.102763
132,132,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247779494524
133,133,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173537098002433
134,134,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716539013386
135,135,LHS 2924,38.5,0.072548688,0.10892877411985397
136,136,2MASS J14392837+1929150,47.0,0.068730336,0.10584588705992698
137,137,LSPM J1440+1339,72.0,0.087822096,0.12228797588014602
138,138,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173537098002433
139,139,CFBDSIR 1458+10A,104.0,0.010595927164146424,0.1541445
140,140,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189509987832
141,141,TVLM 513-46546,35.1,0.07159410000000001,0.1079011450998783
142,142,2MASS 1503+2525,20.7,0.042001872,0.09659721975499391
143,143,CFBDS J150411+102717,71.0,0.042001872,0.09659721975499391
144,144,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481825803995132
145,145,2MASS 1507−1627,23.9,0.057275280000000005,0.10173537098002433
146,146,TVLM 868-110639,53.0,0.075412452,0.1109840444101095
148,148,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173537098002433
149,149,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070774196004867
150,150,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763
151,151,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721975499391
152,152,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.14695108460986614
153,153,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584588705992698
154,154,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659721975499391
155,155,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659721975499391
156,156,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584588705992698
